,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,loss,mean_absolute_error,mean_absolute_percentage_error
0,618407.71022032,357.73401596,93.37629472,627253.42339735,355.98927513,94.47278525
1,608905.91630967,345.33937669,83.48573067,598558.89474961,349.10876502,88.71046835
2,603960.20385557,333.98325288,73.27099661,595374.60629261,334.79873288,77.14090415
3,590525.41474908,311.02961474,54.31662443,582704.62678946,321.41441795,65.15450265
4,563745.30208078,298.15950424,54.77559774,563231.41225747,297.54810812,48.23255791
5,517924.37291922,308.01408972,96.52893321,539636.87100485,304.93048801,79.63631561
6,321084.47879437,235.53083265,68.24272033,446235.37964080,283.30872979,90.69326244
7,513532.38317013,260.36369234,42.26325592,1274849.55880965,259.68808539,46.96485507
8,505599.99287026,260.81007277,46.31228638,495400.04589342,259.75521559,46.24882753
9,493221.02322521,248.30123693,38.43210560,486040.19663083,252.49282161,42.81177286
10,474416.26196450,231.39370113,27.68165117,471669.57031004,235.78834047,32.22972377
11,477922.80581395,216.35413366,27.04496474,452541.10716112,223.77047003,27.52690953
12,406145.66355569,200.12083999,22.18339743,420276.34496264,211.23399077,26.83813886
13,541642.64308446,236.45144493,25.31315014,495982.02806109,227.68367977,25.01646205
14,451390.75027540,226.25759351,25.71874348,461225.93089604,229.29152701,25.04967483
15,457881.32365361,228.17835750,31.60685601,452066.12196513,226.93584596,28.72974172
16,422890.46254590,221.73829841,39.90902958,435946.39089866,225.39889134,35.56229684
17,446446.40082619,239.38346110,53.49569798,434089.54952805,230.20126739,46.34156151
18,414670.09747552,239.57038199,72.20837861,431534.51976927,236.23531249,62.13926287
19,374873.65074969,242.91502730,96.64479233,396867.79813188,240.47758473,82.97942174
20,310781.89689412,229.88597287,106.99615968,4437602.95048178,251.60928975,102.36455031
21,265390.77825887,218.77052932,114.73676365,302863.97996854,230.16581182,112.47450843
22,332830.57671359,245.97966021,124.64367265,317923.60964211,231.33864737,119.62369672
23,319715.04101897,247.73922930,133.06605832,319160.52841177,244.83959444,128.90591029
24,320106.40991432,250.95789628,139.56018492,302230.74483810,243.34298336,135.99090069
25,286895.57758568,244.25279839,146.12904244,299785.53096814,246.87140149,143.03480106
26,241783.37463280,232.10696489,149.74033633,267099.77757276,235.35267952,148.10223823
27,253519.22899327,238.97398129,152.81176936,295519.88961392,241.36599943,151.25462093
28,197379.83389688,225.40256147,154.68885487,217702.41964801,228.85672062,153.76443146
29,279993.70567625,247.72678752,153.52869977,2925840.36992003,239.63711717,153.77079491
30,973510.43053856,235.95761255,153.07653201,253385.94588686,239.14351411,153.48792270
31,257085.80263158,238.20086245,152.09102468,237499.30828199,232.03038520,152.58655946
32,312635.19828641,255.41884206,152.58974020,3896195.25711851,257.22261816,152.72073825
33,295132.48283354,248.13850698,152.43834159,296292.26124476,250.08492583,152.65300642
34,272001.38557222,238.23110542,146.92895340,325605.41609367,241.50311336,151.02850459
35,259680.60699204,200.80539884,106.95779029,259033.73780644,218.58458860,132.60343351
36,222399.34238066,151.82211629,46.59351651,222843.83488791,169.55700792,74.03460642
37,192941.70373317,132.11399331,32.24696447,201121.07201265,138.36592837,37.53124216
38,223775.03072215,140.71418715,30.15553077,198078.41996264,129.55977978,30.48758211
39,191680.84351285,128.81753616,27.72115100,192663.17942285,128.70678819,28.55836465
40,169992.95272338,111.11809217,24.30054285,166944.04666607,117.57447538,26.00951435
41,217935.20503366,133.73973369,24.98800338,847161.50705296,136.01945570,24.43448186
42,211390.56988984,131.80920254,25.86455100,209370.20344455,130.07316762,25.36393039
43,320673.66127601,129.79633820,25.33332841,194695.44250131,123.34066946,25.33710057
44,414394.18264994,122.49303737,25.75293262,198407.55245805,125.28346830,25.70079117
45,219184.24839351,126.87826287,28.91203292,167282.42317285,115.53578843,26.61911271
